"Got Your Love|Dirtyphonics,RIOT"
"Do Nothin' Till You Hear from Me|Danielle Talamantes,Henry Dehlinger"
"Prelude to a Kiss|Danielle Talamantes,Henry Dehlinger"
"Don't Get Around Much Anymore|Danielle Talamantes,Henry Dehlinger"
"Sophisticated Lady|Danielle Talamantes,Henry Dehlinger"
"I'm Beginning to See the Light|Danielle Talamantes,Henry Dehlinger"
"Solitude|Danielle Talamantes,Henry Dehlinger"
"Heaven|Danielle Talamantes,Henry Dehlinger"
"Almighty God Has Those Angels|Danielle Talamantes,Henry Dehlinger"
"Pick It Up|GOGO13,Alex Desert"
"Goodbye Song|Yo Gabba Gabba!,Jack Black"
"Rooftop - Dave Aude Radio Remix|Skylar Stecker,Dave Audé"
"Rooftop - Dave Aude Club Remix|Skylar Stecker,Dave Audé"
"Rooftop - Eric Kupper Radio Edit|Skylar Stecker,Eric Kupper"
"Rooftop - Eric Kupper Club Remix|Skylar Stecker,Eric Kupper"
"Rooftop - Ralphi Rosario Radio Remix|Skylar Stecker,Ralphi Rosario"
"Rooftop - Ralphi Rosario Club Remix|Skylar Stecker,Ralphi Rosario"
"Rooftop - Mike Rizzo Funk Generation Club Mix|Skylar Stecker,Mike Rizzo"
"Rooftop - DJ Drew & Michael Mayeda Remix|Skylar Stecker,Dj Drew,Michael Mayeda"
"Rooftop - :DFace Remix|Skylar Stecker,:DFace"
"Rooftop - Dirty Freqs Remix|Skylar Stecker,Dirty Freqs"
"Rooftop - Simone Bresciani Radio Mix|Skylar Stecker,Simone Bresciani"
"Concerto grosso in D Major, Op. 3 No. 3: Concerto grosso in D Major, Op. 3 No. 3: I. Sostenuto|Francesco Barsanti,Peter Whelan,Ensemble Marsyas"
"Concerto grosso in D Major, Op. 3 No. 3: Concerto grosso in D Major, Op. 3 No. 3: II. Allegro|Francesco Barsanti,Peter Whelan,Ensemble Marsyas"
"Concerto grosso in D Major, Op. 3 No. 3: Concerto grosso in D Major, Op. 3 No. 3: III. Largo|Francesco Barsanti,Peter Whelan,Ensemble Marsyas"
"Concerto grosso in D Major, Op. 3 No. 3: Concerto grosso in D Major, Op. 3 No. 3: IV. Menuet|Francesco Barsanti,Peter Whelan,Ensemble Marsyas"
"Concerto grosso in F Major, Op. 3 No. 2: Concerto grosso in F Major, Op. 3 No. 2: I. Andante ma non tanto|Francesco Barsanti,Peter Whelan,Ensemble Marsyas"
"Concerto grosso in F Major, Op. 3 No. 2: Concerto grosso in F Major, Op. 3 No. 2: II. Allegro|Francesco Barsanti,Peter Whelan,Ensemble Marsyas"
"Concerto grosso in F Major, Op. 3 No. 2: Concerto grosso in F Major, Op. 3 No. 2: III. Adagio|Francesco Barsanti,Peter Whelan,Ensemble Marsyas"
"Concerto grosso in F Major, Op. 3 No. 2: Concerto grosso in F Major, Op. 3 No. 2: IV. Menuet|Francesco Barsanti,Peter Whelan,Ensemble Marsyas"
"Concerto grosso in F Major, Op. 3 No. 1: Concerto grosso in F Major, Op. 3 No. 1: I. Allegro|Francesco Barsanti,Peter Whelan,Ensemble Marsyas"
"Concerto grosso in F Major, Op. 3 No. 1: Concerto grosso in F Major, Op. 3 No. 1: II. Largo|Francesco Barsanti,Peter Whelan,Ensemble Marsyas"
"Concerto grosso in F Major, Op. 3 No. 1: Concerto grosso in F Major, Op. 3 No. 1: III. Allegro|Francesco Barsanti,Peter Whelan,Ensemble Marsyas"
"Concerto grosso in F Major, Op. 3 No. 1: Concerto grosso in F Major, Op. 3 No. 1: IV. Menuet|Francesco Barsanti,Peter Whelan,Ensemble Marsyas"
"Alcina, HWV 34: ""Sta nell'Ircana pietrosa tana""|George Frideric Handel,Emilie Renard,Peter Whelan,Ensemble Marsyas"
"Concerto for French Horns in F Major, HWV 331: Concerto for French Horns in F Major, HWV 331: I. [Allegro]|George Frideric Handel,Alec Frank-Gemmill,Joseph Walters,Peter Whelan,Ensemble Marsyas"
"Concerto for French Horns in F Major, HWV 331: Concerto for French Horns in F Major, HWV 331: II. Alla Hornpipe|George Frideric Handel,Alec Frank-Gemmill,Joseph Walters,Peter Whelan,Ensemble Marsyas"
"March in F Major, HWV 346 ""March in Ptolemy""|George Frideric Handel,Peter Whelan,Ensemble Marsyas"
"Lochaber|Francesco Barsanti,Colin Scobie,Philippe Grisvard,Gulrim Choi"
"Busk Ye|Francesco Barsanti,Colin Scobie,Philippe Grisvard,Gulrim Choi"
"The Birks of Invermay|Francesco Barsanti,Colin Scobie,Philippe Grisvard,Gulrim Choi"
"Logan Water|Francesco Barsanti,Colin Scobie,Philippe Grisvard,Gulrim Choi"
"Concerto grosso in D Major, Op. 3 No. 4: Concerto grosso in D Major, Op. 3 No. 4: I. Allegro|Francesco Barsanti,Peter Whelan,Ensemble Marsyas"
"Concerto grosso in D Major, Op. 3 No. 4: Concerto grosso in D Major, Op. 3 No. 4: II. Adagio|Francesco Barsanti,Peter Whelan,Ensemble Marsyas"
"Concerto grosso in D Major, Op. 3 No. 4: Concerto grosso in D Major, Op. 3 No. 4: III. Menuet|Francesco Barsanti,Peter Whelan,Ensemble Marsyas"
"Concerto grosso in D Major, Op. 3 No. 5: Concerto grosso in D Major, Op. 3 No. 5: I. Andante largo|Francesco Barsanti,Peter Whelan,Ensemble Marsyas"
"Concerto grosso in D Major, Op. 3 No. 5: Concerto grosso in D Major, Op. 3 No. 5: II. Adagio|Francesco Barsanti,Peter Whelan,Ensemble Marsyas"
"Concerto grosso in D Major, Op. 3 No. 5: Concerto grosso in D Major, Op. 3 No. 5: III. Andante allegro|Francesco Barsanti,Peter Whelan,Ensemble Marsyas"
"Concerto grosso in D Major, Op. 3 No. 5: Concerto grosso in D Major, Op. 3 No. 5: IV. Menuet|Francesco Barsanti,Peter Whelan,Ensemble Marsyas"
"Piano Concerto No. 26 in D Major, K. 537 ""Coronation"": Piano Concerto No. 26 in D Major, K. 537 ""Coronation"": I. Allegro|Wolfgang Amadeus Mozart,Francesco Piemontesi,Andrew Manze,Scottish Chamber Orchestra"
"Piano Concerto No. 26 in D Major, K. 537 ""Coronation"": Piano Concerto No. 26 in D Major, K. 537 ""Coronation"": II. (Larghetto)|Wolfgang Amadeus Mozart,Francesco Piemontesi,Andrew Manze,Scottish Chamber Orchestra"
"Piano Concerto No. 26 in D Major, K. 537 ""Coronation"": Piano Concerto No. 26 in D Major, K. 537 ""Coronation"": III. (Allegretto)|Wolfgang Amadeus Mozart,Francesco Piemontesi,Andrew Manze,Scottish Chamber Orchestra"
"Piano Concerto No. 25 in C Major, K. 503: Piano Concerto No. 25 in C Major, K. 503: I. Allegro maestoso|Wolfgang Amadeus Mozart,Francesco Piemontesi,Andrew Manze,Scottish Chamber Orchestra"
"Piano Concerto No. 25 in C Major, K. 503: Piano Concerto No. 25 in C Major, K. 503: II. Andante|Wolfgang Amadeus Mozart,Francesco Piemontesi,Andrew Manze,Scottish Chamber Orchestra"
"Piano Concerto No. 25 in C Major, K. 503: Piano Concerto No. 25 in C Major, K. 503: III. Allegretto|Wolfgang Amadeus Mozart,Francesco Piemontesi,Andrew Manze,Scottish Chamber Orchestra"
"Symphony No. 1 in D Minor, Op. 13: I. Grave—Allegro ma non troppo (Live)|Sergei Rachmaninoff,Philharmonia Orchestra,Vladimir Ashkenazy"
"Symphony No. 1 in D Minor, Op. 13: II. Allegro animato (Live)|Sergei Rachmaninoff,Philharmonia Orchestra,Vladimir Ashkenazy"
"Symphony No. 1 in D Minor, Op. 13: III. Larghetto (Live)|Sergei Rachmaninoff,Philharmonia Orchestra,Vladimir Ashkenazy"
"Symphony No. 1 in D Minor, Op. 13: IV. Allegro con fuoco (Live)|Sergei Rachmaninoff,Philharmonia Orchestra,Vladimir Ashkenazy"
"In a Week (feat. Karen Cowley)|Hozier,Karen Cowley"
"Tu Recuerdo y Yo (with José Alfredo Jiménez)|José Feliciano,José Alfredo Jimenez"
